now_us,bytes_acked,mss,rtt_us,tp_delivered_rate,tp_rate_interval_us,tp_delivered,lost,retrans,app_limited
100043174,37988244,1308,22373652,13825,36825891,29044,0,0,0
100043178,37989552,1308,22371244,13826,36825891,29045,0,0,0
100043183,37990860,1308,22371249,13827,36828303,29046,0,0,0
100043188,37992168,1308,22368842,13828,36828303,29047,0,0,0
100043193,37993476,1308,22368847,13829,36830715,29048,0,0,0
100043197,37994784,1308,22366439,13830,36830715,29049,0,0,0
100043204,37996092,1308,22366446,13831,36833127,29050,0,0,0
100043208,37997400,1308,22364038,13832,36833127,29051,0,0,0
100043291,37998708,1308,22364121,13833,36835539,29052,0,0,0
100043296,38000016,1308,22361714,13834,36835539,29053,0,0,0
100043301,38001324,1308,22361719,13832,36806772,29054,0,0,0
100043305,38002632,1308,22359310,13833,36806772,29055,0,0,0
100043310,38003940,1308,22359315,13834,36809185,29056,0,0,0
100043314,38005248,1308,22356906,13835,36809185,29057,0,0,0
100043320,38006556,1308,22355705,13836,36811598,29058,0,0,0
100043324,38007864,1308,22355709,13837,36812805,29059,0,0,0
100043332,38009172,1308,22353304,13838,36812805,29060,0,0,0
100043336,38010480,1308,22353308,13838,36813440,29061,0,0,0
100043342,38011788,1308,22350900,13839,36813440,29062,0,0,0
100043347,38013096,1308,22350905,13840,36815854,29063,0,0,0
100043423,38014404,1308,22348568,13841,36815854,29064,0,0,0
100043428,38015712,1308,22348573,13842,36818267,29065,0,0,0
100043433,38018328,1308,22346164,13843,36818267,29067,0,0,0
100043437,38019636,1308,22343755,13845,36820681,29068,0,0,0
100043538,38020944,1308,22343856,13846,36823094,29069,0,0,0
100043543,38022252,1308,22341447,13847,36823094,29070,0,0,0
100043548,38023560,1308,22341452,13848,36825508,29071,0,0,0
100043554,38024868,1308,22339045,13849,36825508,29072,0,0,0
100043558,38026176,1308,22339049,13850,36827921,29073,0,0,0
100043563,38027484,1308,22336640,13851,36827921,29074,0,0,0
100043567,38028792,1308,22336644,13852,36830335,29075,0,0,0
100043572,38030100,1308,22334236,13853,36830335,29076,0,0,0
100043579,38031408,1308,22334243,13854,36832748,29077,0,0,0
100043584,38032716,1308,22331834,13855,36832748,29078,0,0,0
100043589,38034024,1308,22331839,13856,36835162,29079,0,0,0
100043593,38035332,1308,22329429,13857,36835162,29080,0,0,0
100043611,38036640,1308,22329447,13858,36837576,29081,0,0,0
100043616,38037948,1308,22327039,13859,36837576,29082,0,0,0
100043620,38039256,1308,22325836,13860,36839989,29083,0,0,0
100043625,38040564,1308,22325841,13861,36841196,29084,0,0,0
100043629,38041872,1308,22323432,13862,36841196,29085,0,0,0
100043634,38043180,1308,22323437,13863,36843609,29086,0,0,0
100043638,38044488,1308,22321027,13864,36843609,29087,0,0,0
100043643,38045796,1308,22321032,13861,36805402,29088,0,0,0
100043651,38047104,1308,22318626,13862,36805402,29089,0,0,0
100043656,38048412,1308,22318631,13863,36807816,29090,0,0,0
100043661,38049720,1308,22316222,13864,36807816,29091,0,0,0
100043666,38051028,1308,22316227,13865,36810230,29092,0,0,0
100043670,38052336,1308,22313816,13866,36810230,29093,0,0,0
100043675,38053644,1308,22313821,13867,36812645,29094,0,0,0
100045609,38054952,1308,22313341,13868,36812645,29095,0,0,0
100055856,38056260,1308,22323588,13869,36815059,29096,0,0,0
100055869,38057568,1308,22321187,13870,36815059,29097,0,0,0
100055875,38058876,1308,22321193,13871,36817473,29098,0,0,0
100055880,38060184,1308,22318784,13872,36817473,29099,0,0,0
100055884,38061492,1308,22318788,13873,36819887,29100,0,0,0
100055889,38062800,1308,22316379,13874,36819887,29101,0,0,0
100055894,38064108,1308,22316384,13875,36822301,29102,0,0,0
100055898,38065416,1308,22313974,13876,36822301,29103,0,0,0
100055921,38066724,1308,22313997,13877,36824715,29104,0,0,0
100055926,38068032,1308,22311587,13878,36824715,29105,0,0,0
100055930,38069340,1308,22311591,13879,36827130,29106,0,0,0
