now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
1357167,1172352,1376,374630,420,454254,853,0,0,0,2790469440,5832128,856.0,
1380918,1195744,1376,389865,426,459436,870,0,0,0,2790611168,5920977,862.0,
1385871,1201248,1376,392863,431,430931,874,0,0,0,2790638688,6042997,879.0,
1385940,1202624,1376,392932,435,435820,875,0,0,0,2790648320,6080904,883.0,
1385959,1205376,1376,391973,436,437775,877,0,0,0,2790648320,6100541,884.0,
1386271,1219136,1376,387396,438,438753,887,0,0,0,2790648320,6127416,886.0,
1386293,1221888,1376,375901,448,439731,889,0,0,0,2790648320,6209489,896.0,
1386308,1223264,1376,375426,449,455159,890,0,0,0,2790648320,6265157,898.0,
1386323,1227392,1376,373215,449,454779,893,0,0,0,2790648320,6310175,899.0,
1386339,1228768,1376,372739,451,457005,894,0,0,0,2790648320,6364982,902.0,
1386354,1231520,1376,371770,451,452276,896,0,0,0,2790648320,6407473,903.0,
1386397,1232896,1376,371813,451,452820,897,0,0,0,2790648320,6453034,905.0,
1386414,1234272,1376,370847,452,452820,898,0,0,0,2790648320,6489881,906.0,
1386439,1235648,1376,370872,453,453803,899,0,0,0,2790648320,6525361,907.0,
1386456,1237024,1376,361232,454,453803,900,0,0,0,2790648320,6557509,908.0,
1392082,1238400,1376,366611,454,463460,901,0,0,0,2790681344,6607711,909.0,
1392124,1249408,1376,353286,454,462818,909,0,0,0,2790681344,6641232,910.0,
1392150,1250784,1376,353312,456,472459,910,0,0,0,2790681344,6722867,918.0,
1392166,1252160,1376,352327,457,473460,911,0,0,0,2790681344,6780873,919.0,
1392180,1256288,1376,351341,458,474461,914,0,0,0,2790681344,6835550,920.0,
1392196,1272800,1376,341513,461,474461,926,0,0,0,2790681344,6899875,923.0,
1392215,1279680,1376,338571,460,468518,931,0,0,0,2790681344,7042557,935.0,
1392233,1292064,1376,334640,465,472467,940,0,0,0,2790681344,7140859,940.0,
1392261,1294816,1376,333681,474,474441,942,0,0,0,2790681344,7268607,949.0,
1394316,1296192,1376,334748,475,478827,943,0,0,0,2790700608,7349442,951.0,
1394340,1298944,1376,333784,475,479815,945,0,0,0,2790700608,7412734,952.0,
1404206,1304448,1376,342183,469,477049,949,0,0,0,2790769408,7477656,954.0,
