now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
49005018,1308,2,0,3.372024,48,23626485,7621716,0,10992432,2578
49005136,1308,2,0,3.372024,48,23626603,7623024,0,10993740,2578
49005187,1308,2,0,3.373332,48,23600652,7624332,0,10996356,2579
49005221,1308,2,0,3.373332,48,23600686,7625640,0,10996356,2579
49044885,1308,2,0,3.37464,48,23637151,7626948,0,10998972,2580
49045008,1308,2,0,3.37464,48,23600243,7628256,0,11001588,2580
49045080,1308,2,0,3.375948,48,23600315,7629564,0,11004204,2581
49084100,1308,2,0,3.375948,48,23636127,7630872,0,11004204,2581
49084220,1308,2,0,3.377256,48,23636247,7632180,0,11006820,2582
49084271,1308,2,0,3.377256,48,23629865,7633488,0,11009436,2582
49084307,1308,2,0,3.378564,48,23629901,7634796,0,11009436,2583
49124382,1308,2,0,3.378564,48,23644234,7636104,0,11012052,2583
49124506,1308,2,0,3.379872,48,23644358,7637412,0,11014668,2584
49124556,1308,2,0,3.379872,48,23640203,7638720,0,11017284,2584
49124591,1308,2,0,3.38118,48,23640238,7640028,0,11017284,2585
49164670,1308,2,0,3.38118,48,23674838,7641336,0,11019900,2585
49164715,1308,2,0,3.382488,48,23674883,7642644,0,11022516,2586
49164729,1308,2,0,3.382488,48,23668431,7643952,0,11025132,2586
49164740,1308,2,0,3.383796,48,23668442,7645260,0,11025132,2587
49204348,1308,2,0,3.383796,48,23689036,7646568,0,11027748,2587
49204442,1308,2,0,3.385104,48,23679306,7647876,0,11030364,2588
49204476,1308,2,0,3.385104,48,23679340,7649184,0,11032980,2588
49204547,1308,2,0,3.386412,48,23676172,7650492,0,11032980,2589
49244438,1308,2,0,3.386412,48,23716063,7651800,0,11035596,2589
49244571,1308,2,0,3.38772,48,23680353,7653108,0,11038212,2590
49244619,1308,2,0,3.38772,48,23680401,7654416,0,11040828,2590
49284927,1308,2,0,3.389028,48,23717462,7655724,0,11043444,2591
49285014,1308,2,0,3.389028,48,23717549,7657032,0,11043444,2591
49324979,1308,2,0,3.390336,48,23751016,7658340,0,11046060,2592
49325107,1308,2,0,3.390336,48,23751144,7659648,0,11048676,2592
49364590,1308,2,0,3.391644,48,23784119,7660956,0,11051292,2593
49364709,1308,2,0,3.391644,48,23784238,7662264,0,11052600,2593
49364763,1308,2,0,3.392952,48,23759803,7663572,0,11055216,2594
49404774,1308,2,0,3.392952,48,23799814,7664880,0,11055216,2594
49404897,1308,2,0,3.39426,48,23796682,7666188,0,11057832,2595
49404946,1308,2,0,3.39426,48,23796731,7667496,0,11060448,2595
