now_us,bbr_full_bw,bbr_full_bw_cnt,bbr_max_bw,round_start,app_limited,bbr_min_rtt,bbr_state
7894826,1691,1,2952,0,0,586634,0
7894849,1691,1,2952,0,0,586634,0
7894870,1691,1,2966,0,0,586634,0
7894892,1691,1,2966,0,0,586634,0
7894913,1691,1,2980,0,0,586634,0
7894946,1691,1,2980,0,0,586634,0
7894968,1691,1,2980,0,0,586634,0
7918862,1691,1,2980,0,0,586634,0
7918951,1691,1,2980,0,0,586634,0
7918987,1691,1,2980,0,0,586634,0
7919009,1691,1,2980,0,0,586634,0
7951532,1691,1,2980,0,0,586634,0
7951628,1691,1,2980,0,0,586634,0
7951665,1691,1,2980,0,0,586634,0
7956839,1691,1,2980,0,0,586634,0
7956899,1691,1,2980,0,0,586634,0
7956927,1691,1,2980,0,0,586634,0
7957039,1691,1,3020,0,0,586634,0
7957068,1691,1,3020,0,0,586634,0
7957088,1691,1,3034,0,0,586634,0
7959066,1691,1,3034,0,0,586634,0
7959096,1691,1,3034,0,0,586634,0
7959423,1691,1,3034,0,0,586634,0
7959450,1691,1,3034,0,0,586634,0
7969628,1691,1,3034,0,0,586634,0
7969698,1691,1,3034,0,0,586634,0
7969724,1691,1,3044,0,0,586634,0
7969747,1691,1,3147,0,0,586634,0
7969775,1691,1,3160,0,0,586634,0
7969796,1691,1,3160,0,0,586634,0
7969817,1691,1,3161,0,0,586634,0
7969878,1691,1,3161,0,0,586634,0
7969900,1691,1,3161,0,0,586634,0
7969922,1691,1,3161,0,0,586634,0
7999494,1691,1,3161,0,0,586634,0
7999586,1691,1,3161,0,0,586634,0
7999622,1691,1,3161,0,0,586634,0
7999653,1691,1,3161,0,0,586634,0
8018106,1691,1,3161,0,0,586634,0
8018205,1691,1,3220,0,0,586634,0
8019468,1691,1,3220,0,0,586634,0
8019553,1691,1,3230,0,0,586634,0
8037363,1691,1,3230,0,0,586634,0
8037468,1691,1,3230,0,0,586634,0
8037504,1691,1,3230,0,0,586634,0
8037533,1691,1,3230,0,0,586634,0
